set;ANG1;ANG2;ANG3;ANG4;TSAI1;TSAI2;TSAI3;TSAI4;TSAI5;TSAI6;TSAI7;TSAI8;TSAI9;TSAI10;TSAI11;TSAI12;TK;MTSAI;TVOL
77;52,5625;4,82775;97,4735;154,506;0,785732;1,34169;0,690802;1,26676;0,991611;1,15496;1,11635;0,947044;1,15146;0,580994;1,01423;0,592738;18,1551;1,34169;1,78E+07
78;148,427;19,5633;64,4379;52,2508;1,16335;1,69374;1,05337;1,2301;1,45769;1,45901;1,41018;1,32648;1,29118;1,28464;1,4705;1,27012;30,6795;1,69374;3,02E+07
79;141,863;5,257;82,8078;49,7505;0,508719;0,907326;0,536301;0,682641;0,767708;0,776612;0,74982;0,71277;0,611545;0,374957;0,66149;0,373867;31,0099;0,907326;3,05E+07
80;50,2837;136,146;15,1713;21,4206;0,470977;0,79737;0,946494;0,829653;0,619995;0,697158;0,675762;0,562273;0,710682;0,766183;0,604917;0,374308;38,3897;0,946494;3,77E+07
81;82,2984;116,051;15,1129;33,2826;0,68545;0,415968;0,270119;0,285564;0,468482;0,291838;0,265038;0,373808;0,245899;0,24816;0,234872;0,320045;36,6377;0,68545;3,60E+07
82;114,908;164,101;1,21383;100,043;1,43391;1,27883;1,21508;1,16037;0,661035;1,03546;1,00889;0,490579;0,821697;0,7726;0,913518;0,833891;19,9625;1,43391;1,96E+07
83;91,002;39,7325;161,317;111,874;0,729732;0,541725;0,4662;0,485994;0,585686;0,457347;0,437769;0,489733;0,341674;0,373797;0,370123;0,374341;30,0135;0,729732;2,95E+07
84;45,933;110,369;108,868;84,9899;1,70277;2,07451;1,98061;2,0317;1,22271;1,62933;1,53224;1,06698;1,50186;1,29092;1,19151;0,767537;28,1758;2,07451;2,77E+07
85;52,9704;22,582;125,689;21,0636;0,344773;0,691199;0,443776;0,654894;0,430252;0,595415;0,578059;0,388575;0,562728;0,348703;0,52795;0,26272;37,6701;0,691199;3,70E+07
86;135,549;145,408;89,9314;10,8883;1,85608;1,57913;1,33351;1,62434;1,0251;1,45917;1,43283;0,92383;1,38251;0,670577;1,33877;1,20996;15,9197;1,85608;1,56E+07
87;166,512;63,272;115,653;165,259;0,482618;0,310196;0,256484;0,415375;0,51329;0,279143;0,272775;0,461585;0,33672;0,142065;0,254885;0,32256;36,6198;0,51329;3,60E+07
88;39,7041;21,6488;25,5258;86,5212;0,870649;0,903566;0,850743;0,553461;0,490818;0,780271;0,75488;0,450991;0,314929;0,691525;0,686503;0,607665;30,1393;0,903566;2,96E+07
89;84,5875;162,942;145,244;32,7736;0,406433;0,449672;0,433863;0,33428;0,340275;0,396679;0,384759;0,268169;0,282956;0,357849;0,343143;0,153865;35,9383;0,449672;3,53E+07
90;152,185;94,9049;175,914;63,0035;0,350582;0,369131;0,408973;0,298517;0,390576;0,286878;0,268572;0,360298;0,265724;0,30311;0,202853;0,251324;34,4301;0,408973;3,38E+07
